SubjID,ListNumb,ConditionID,TargID,Transcriber Initials,Transcription,TranscriptionNotes,NamingError,SceneSetting,SourceMention,SourceMenFrame,GoalMention,GoalMenFrame,MentionOrder,MannerofMotion,CodingNotes,CoderInitials
S2,L2,NCG_A,Targ1,RNR,um there's a tree trunk on the right hand side of the screen and a frog jumps from that tree trunk to a lily pad in the pond,,n,y,y,from-pp,y,to-pp,source-goal,jumps,,NER
S2,L2,NCG_A,Targ2,RNR,um so there's a brown horse at... a red barn and he runs towards the fence... which is brownish colored... and the grass is green,,n,y,y,other,y,towards-pp,source-goal,runs,,NER
S2,L2,NCG_A,Targ3,RNR,uh y- okay so the background is just some grass and a blue sky and then there's a tree on the right side of the screen just like a regular looking tree and a dog runs from that tree to um a red barn or like a red dog house i think it's-- it's his dog house and there's um... also like a bowl of food in front of that dog house... and the dog house is red and th- the the dog is brown,,n,y,y,from-pp,y,to-pp,source-goal,runs,,NER
S2,L2,NCG_A,Targ4,RNR,okay so this is a picture of just like... a normal like blue sky and then green grass and then there's like a beehive on the... on the right hanging from a tree branch and the bee flies from the beehive to the flower on the-- to the purple looking-- lavender looking flower on the left side of the screen...... um,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ5,CAP,            ,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ6,CAP,uhm so there's a lake...there's a crocodile on the left side of the lake...and a...rhino-asourous...uhm it's some type of rhinoserous looking creature on the...right side of the screen...and there's a flamingo in front of the crocodile...and the flamingo is like jumping up and down...and the crocodile is like greenish blue-ish...the flamingo's pink...yea,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ7,CAP,so there's a bookshelf on the..left hand side of the screen and an oven...or a stove on the right hand side of the screen...andu hm this young boy is walking....from the bookshelf to the stove...uhm...and they're like in different rooms too...like the bookcase and the stove.,over/stove,n,y,y,from-pp,y,to-pp,source-goal,walks,,NER
S2,L2,NCG_A,Targ8,CAP,uhm...so this looks like it's at night...uhm so there's like a darkish blueish sky and then like a maroon colored floor...uhm...there's a moon on the right hand side of the screen and the witch flies...a witch on a broom stick flies from the moon to a...haun...like a haunted looking house...uh it's like a grey house with green shelves...with green roofs...[?]...and there's tan windows...yea,,n,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ9,CAP,uhm I'm not...mmm the background uhm...so the the background I think is a swamp...there's like some...some muddy looking swamp thing...and then there's like some big rocks in the background... and then there's like a...a smaller grey rock on the right-hand side of the screen and a snake moves from that gray rock to...uhm...a plant looking thing on the left-hand side of screen...and it's like bushy...it has like pink uhm specks on on...yea it's like bushy so it's green but then it has like pink specs...scattered around the bush or scattered around the leaf area,,n,y,y,from-pp,y,to-pp,source-goal,moves,uses demonstrative pronoun after scene setting to talk about source,NER
S2,L2,NCG_A,Targ10,RNR,okay so the background is just like blue sky green grass and then i don't-- i don't really know what they're called but like when you're like driving on the highway and you see like all those like electricityyy things like... like there's like it like looks like that and there's like lines in between each pole...... not the wires but like the-- the stands themselves that connect the wires...... yeah so... it's like that thing on the right side of the screen... um and then a green tent on the left side and the bird flies from... that electric stand looking thing to the green tent yeah,"can't remember ""telephone pole"" ",y,y,y,from-pp,y,to-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ11,CAP,so the background of this picture is space and uhm...but a rocket ship comes from...i think it might be like  a space station yea...a space station...on the top...and the rocket comes from that to a planet on the more left screen...and the rocket is like...yellow red and orange...and the planet is like...pinkish,unsure of word satellite/ space station,y,y,y,from-pp,y,to-pp,source-goal,comes,,NER
S2,L2,NCG_A,Targ12,,,,n,y,y,from-pp,y,over-pp,source-goal,flies,,NER
S2,L2,NCG_A,Targ13,,,,n,n,y,from-pp,y,towards-pp,goal-source,crawls,,NER
S2,L2,NCG_A,Targ14,,,,n,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S2,L2,NCG_A,Targ15,,,,n,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S2,L2,NCG_A,Targ16,,,,n,y,y,from-pp,y,to-pp,source-goal,goes,,NER
S2,L2,NCG_A,Targ17,,,,n,y,y,from-pp,y,to-pp,source-goal,walks,,NER
S2,L2,NCG_A,Targ18,,,not sure what the background is,y,y,y,from-pp,y,to-pp,source-goal,moves,,NER
S3,L3,NCG_A,Targ1,,,,n,n,y,from-part,y,onto-pp,source-goal,conjoined,conjoined; jumps up from....and onto,MLD
S3,L3,NCG_A,Targ2,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,MLD
S3,L3,NCG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,conjoined,conjoined; runs from...and to ,MLD
S3,L3,NCG_A,Targ4,,,,n,n,y,from-pp,y,to-pp,source-goal,travels,back-to' return event,MLD
S3,L3,NCG_A,Targ5,,,,n,n,y,at-pp,y,to-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ6,,,,n,n,y,from-part,y,to-part,source-goal,flies,,MLD
S3,L3,NCG_A,Targ7,,,,n,n,y,from-pp,y,into-pp,source-goal,walks,"doesn't usestove as landmarks - into a kitchen, where there is...",MLD
S3,L3,NCG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S3,L3,NCG_A,Targ10,,,,n,n,y,from-pp,y,onto-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ11,,,,n,n,y,from-pp,y,onto-pp,source-goal,flies,,MLD
S3,L3,NCG_A,Targ12,,,,n,n,y,from-part,y,v-np,source-goal,approaches,,MLD
S3,L3,NCG_A,Targ13,,,,n,n,y,from-pp,y,to-pp,source-goal,crawls,,MLD
S3,L3,NCG_A,Targ14,,,,n,n,y,from-part,y,to-pp,source-goal,drives,,MLD
S3,L3,NCG_A,Targ15,,,,n,n,y,from-pp,y,to-pp,source-goal,hops,,MLD
S3,L3,NCG_A,Targ16,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S3,L3,NCG_A,Targ17,,,,n,n,y,from-pp,y,to-pp,source-goal,brings,"doesn't totally use fridge as landmark, just says close to refridgerator",MLD
S3,L3,NCG_A,Targ18,,,forgot word for 'bench',y,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S4,L1,CG_A,Targ1,,,,n,n,n,,y,onto-pp,goal only,hops,,MLD
S4,L1,CG_A,Targ2,,,,n,n,n,,y,towards-pp,goal only,gallops,,MLD
S4,L1,CG_A,Targ3,,,,n,n,n,,y,towards-pp,goal only,jumps,,MLD
S4,L1,CG_A,Targ4,,,,n,n,n,,y,towards-pp,goal only,flies,,MLD
S4,L1,CG_A,Targ5,,,,n,n,y,from-pp,y,towards-pp,source-goal,goes,further describes where the butterfly lands on the chair,MLD
S4,L1,CG_A,Targ6,,,,n,n,n,,y,towards-pp,goal only,moves,,MLD
S4,L1,CG_A,Targ7,,,,n,n,n,,y,towards-pp,goal only,walks,,MLD
S4,L1,CG_A,Targ8,,,,n,n,y,from-pp,y,towards-pp,source-goal,flies,,MLD
S4,L1,CG_A,Targ9,,,,n,n,n,,y,to-pp,goal only,slithers,,MLD
S4,L1,CG_A,Targ10,,,,n,n,n,,y,of-pp,goal only,flies,,MLD
S4,L1,CG_A,Targ11,,,,n,n,y,from-part,y,on-pp,source-goal,comes,,MLD
S4,L1,CG_A,Targ12,,,,n,n,n,,y,to-pp,goal only,makes its way,,MLD
S4,L1,CG_A,Targ13,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,MLD
S4,L1,CG_A,Targ14,,,,n,n,n,,y,of-pp,goal only,drives,,MLD
S4,L1,CG_A,Targ15,,,,n,n,n,,y,towards-pp,goal only,hops,,MLD
S4,L1,CG_A,Targ16,,,,n,n,n,,y,towards-pp,goal only,tip-toes,,MLD
S4,L1,CG_A,Targ17,,,,n,n,n,,y,towards-pp,goal only,walks,,MLD
S4,L1,CG_A,Targ18,,,,n,n,y,from-pp,y,under-pp,goal-source,moves,,MLD
S5,L2,CG_A,Targ1,,,,n,n,n,,y,to-pp,goal only,jumps,,MLD
S5,L2,CG_A,Targ2,,,,n,n,n,,y,towards-pp,goal only,gallops,,MLD
S5,L2,CG_A,Targ3,,,,n,n,n,,y,to-pp,goal only,runs,,MLD
S5,L2,CG_A,Targ4,,,,n,n,n,,y,to-pp,goal only,flies,,MLD
S5,L2,CG_A,Targ5,,,,y,n,n,,y,v-np,goal only,conjoined,naming error - bird instead of butterfly; conjoined: did XX and landed on the light. ,MLD
S5,L2,CG_A,Targ6,,,,n,n,n,,y,v-np,goal only,conjoined,conjoined: flew and landed on it,MLD
S5,L2,CG_A,Targ7,,,,n,n,n,,y,to-pp,goal only,walks,,MLD
S5,L2,CG_A,Targ8,,,,n,n,n,,y,on-pp,goal only,descends,,MLD
S5,L2,CG_A,Targ9,,,,n,n,n,,y,other-pp,goal only,slithers,,MLD
S5,L2,CG_A,Targ10,,,,n,n,n,,y,on-pp,goal only,lands,,MLD
S5,L2,CG_A,Targ11,,,,n,n,y,from-pp,y,on-pp,source-goal,conjoined,conjoined: launched and landed,MLD
S5,L2,CG_A,Targ12,,,,n,n,y,other-part,n,,source only,goes,"""outside of""",MLD
S5,L2,CG_A,Targ13,,,,n,n,n,,y,towards-pp,goal only,crawls,,MLD
S5,L2,CG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S5,L2,CG_A,Targ15,,,,n,n,n,,y,to-pp,goal only,hops,,MLD
S5,L2,CG_A,Targ16,,,,n,n,n,,y,to-pp,goal only,creaps,,MLD
S5,L2,CG_A,Targ17,,,,n,n,n,,y,to-pp,goal only,carries,"carries the food - not solely a motion event involving only teh agent, but still goal only",MLD
S5,L2,CG_A,Targ18,,,,n,n,n,,y,under-pp,goal only,moves,,MLD
S6,L3,CG_A,Targ1,,,,n,n,y,from-pp,y,to-pp,source-goal,jumps,,MLD
S6,L3,CG_A,Targ2,,,,n,n,n,,y,to-pp,goal only,gallops,,MLD
S6,L3,CG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,MLD
S6,L3,CG_A,Targ4,,,,n,n,n,,y,to-pp,goal only,flies,,MLD
S6,L3,CG_A,Targ5,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S6,L3,CG_A,Targ6,,,,n,n,y,from-pp,y,to-pp,source-goal,conjoined,conjoined: Descends and is now at,MLD
S6,L3,CG_A,Targ7,,,,n,n,n,,y,to-pp,goal only,walks,,MLD
S6,L3,CG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S6,L3,CG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,slithers,,MLD
S6,L3,CG_A,Targ10,,,,y,n,y,from-pp,y,to-pp,source-goal,flies,didn't know the word for telephone pole,MLD
S6,L3,CG_A,Targ11,,,,n,n,y,from-pp,y,v-np,source-goal,conjoined,conjoined: launched & landed,MLD
S6,L3,CG_A,Targ12,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S6,L3,CG_A,Targ13,,,,n,n,n,,y,to-pp,goal only,crawls,,MLD
S6,L3,CG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,MLD
S6,L3,CG_A,Targ15,,,,n,n,n,,y,to-pp,goal only,hops,,MLD
S6,L3,CG_A,Targ16,,,,n,n,n,,y,onto-pp,goal only,conjoined,conjoined: walks and steps,MLD
S6,L3,CG_A,Targ17,,,,n,n,n,,y,to-pp,goal only,walks,,MLD
S6,L3,CG_A,Targ18,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,MLD
S8,L2,NCG_A,Targ1,,,,n,n,y,from-pp,y,to-pp,source-goal,jumps,,MLD
S8,L2,NCG_A,Targ2,,,,n,n,n,,n,,none,runs,does not describe as a change of location event,MLD
S8,L2,NCG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,MLD
S8,L2,NCG_A,Targ4,,,,n,y,n,,y,to-pp,goal only,goes,,MLD
S8,L2,NCG_A,Targ5,,,,n,y,y,from-pp,y,onto-pp,source-goal,flies,,MLD
S8,L2,NCG_A,Targ6,,,,n,y,n,,n,,none,flies,does not describe as a change of location event,MLD
S8,L2,NCG_A,Targ7,,,,n,n,y,from-pp,y,towards-pp,source-goal,walks,"mentions stove, but not as landmark, only as part of kitchen endpoint",MLD
S8,L2,NCG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S8,L2,NCG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S8,L2,NCG_A,Targ10,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S8,L2,NCG_A,Targ11,,,,n,y,n,,y,to-pp,goal only,flies,,MLD
S8,L2,NCG_A,Targ12,,,,n,y,n,,y,other-pp,goal only,goes,,MLD
S8,L2,NCG_A,Targ13,,,,n,n,y,from-pp,y,to-pp,source-goal,crawls,,MLD
S8,L2,NCG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,drives,,MLD
S8,L2,NCG_A,Targ15,,,,n,y,n,,n,,none,hops,does not describe as a change of location event,MLD
S8,L2,NCG_A,Targ16,,,,n,y,y,from-pp,y,to-pp,source-goal,goes,,MLD
S8,L2,NCG_A,Targ17,,,,n,n,n,,n,,none,throws,does not describe as a change of location event; throwing away trash,MLD
S8,L2,NCG_A,Targ18,,,,n,y,y,from-pp,y,to-pp,source-goal,runs,,MLD
S7,L1,NCG_A,Targ1,,,,n,n,y,from-pp,y,to-pp,source-goal,jumps,,MLD
S7,L1,NCG_A,Targ2,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,MLD
S7,L1,NCG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,MLD
S7,L1,NCG_A,Targ4,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S7,L1,NCG_A,Targ5,,,,n,y,y,from-pp,y,to-pp,source-goal,moves,"forgot to press space bar, didn't describe motion event until late",MLD
S7,L1,NCG_A,Targ6,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S7,L1,NCG_A,Targ7,,,,n,n,y,from-pp,y,to-pp,source-goal,walks,"doesn't use bookcase as landmark/endpoint, uses room but says bookcase in room",MLD
S7,L1,NCG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,MLD
S7,L1,NCG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,slithers,,MLD
S7,L1,NCG_A,Targ10,,,,y,n,y,from-pp,y,to-pp,source-goal,flies,uses lamppost instead of electric pole,MLD
S7,L1,NCG_A,Targ11,,,,n,n,y,from-pp,y,v-np,source-goal,conjoined,goes + and lands on,MLD
S7,L1,NCG_A,Targ12,,,,n,n,y,from-pp,y,to-pp,source-goal,swims,,MLD
S7,L1,NCG_A,Targ13,,,,n,n,y,from-pp,y,to-pp,source-goal,crawls,,MLD
S7,L1,NCG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,drives,,MLD
S7,L1,NCG_A,Targ15,,,,n,n,y,from-pp,y,to-pp,source-goal,hops,,MLD
S7,L1,NCG_A,Targ16,,,,n,n,y,from-pp,y,to-pp,source-goal,conjoined,sneaks + goes,MLD
S7,L1,NCG_A,Targ17,,,,n,n,y,from-pp,y,to-pp,source-goal,carries,"not just motion event, also a 'brings' event, so the tray of food is the one taht ""seems"" to undergo teh motion, the waitress is just the agent",MLD
S7,L1,NCG_A,Targ18,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S9,L3,NCG_A,Targ1,,,,n,n,y,from-pp,y,to-pp,source-goal,hops,,NER
S9,L3,NCG_A,Targ2,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,NER
S9,L3,NCG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,NER
S9,L3,NCG_A,Targ4,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,NER
S9,L3,NCG_A,Targ5,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,NER
S9,L3,NCG_A,Targ6,,,angel instead of fairy,y,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ7,,,,n,n,y,from-pp,y,to-pp,source-goal,walks,,NER
S9,L3,NCG_A,Targ8,,,,n,n,y,from-pp,y,to-pp,source-goal,flies,,NER
S9,L3,NCG_A,Targ9,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ10,,,electric wire pole,y,n,y,from-pp,y,to-pp,source-goal,flies,,NER
S9,L3,NCG_A,Targ11,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ12,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ13,,,,n,y,n,,y,towards-pp,goal only,crawls,,NER
S9,L3,NCG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ15,,,,n,n,y,from-pp,y,to-pp,source-goal,hops,,NER
S9,L3,NCG_A,Targ16,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S9,L3,NCG_A,Targ17,,,,n,n,y,from-pp,y,to-pp,source-goal,walks,,NER
S9,L3,NCG_A,Targ18,,,,n,n,y,from-pp,y,to-pp,source-goal,moves,,NER
S10,L1,CG_A,Targ1,,,,n,n,y,from-pp,y,to-part,source-goal,walks,,MLD
S10,L1,CG_A,Targ2,,,,n,n,n,,y,to-part,goal only,runs,,MLD
S10,L1,CG_A,Targ3,,,,n,n,y,from-pp,y,to-part,source-goal,runs,,MLD
S10,L1,CG_A,Targ4,,,,n,n,y,from-pp,y,to-part,source-goal,flies,flies 'back to' - return event,MLD
S10,L1,CG_A,Targ5,,,,n,n,y,from-pp,y,to-part,source-goal,flies,,MLD
S10,L1,CG_A,Targ6,,,,n,n,y,from-part,y,to-pp,source-goal,flies,,MLD
S10,L1,CG_A,Targ7,,,,n,n,y,from-pp,y,to-pp,source-goal,walks,,MLD
S10,L1,CG_A,Targ8,,,,n,n,y,from-part,y,to-pp,source-goal,flies,,MLD
S10,L1,CG_A,Targ9,,,,n,n,y,from-pp,y,to-part,source-goal,slides,,MLD
S10,L1,CG_A,Targ10,,,,n,n,y,from-pp,y,to-part,source-goal,flies,,MLD
S10,L1,CG_A,Targ11,,,,n,n,y,from-part,y,to-pp,source-goal,flies,,MLD
S10,L1,CG_A,Targ12,,,,n,n,y,from-pp,y,to-pp,source-goal,goes,,MLD
S10,L1,CG_A,Targ13,,,,n,n,n,,y,to-part,goal only,crawls,,MLD
S10,L1,CG_A,Targ14,,,,n,n,y,from-pp,y,to-pp,source-goal,drives,,MLD
S10,L1,CG_A,Targ15,,,,n,n,y,from-pp,y,to-pp,source-goal,jumps,,MLD
S10,L1,CG_A,Targ16,,,,n,n,n,,y,to-part,goal only,walks,,MLD
S10,L1,CG_A,Targ17,,,,n,n,n,,y,to-part,goal only,walks,plate is mentioned as well,MLD
S10,L1,CG_A,Targ18,,,,n,n,y,from-part,y,to-part,source-goal,runs,,MLD
S11,L2,CG_A,Targ1,,,,n,n,y,from-pp,y,onto-pp,source-goal,leaps,,NER
S11,L2,CG_A,Targ2,,,,n,n,y,from-pp,y,to-pp,source-goal,gallops,,NER
S11,L2,CG_A,Targ3,,,,n,n,y,from-pp,y,to-pp,source-goal,runs,,NER
