Timestamp,ParticipantID ,ListID,How friendly would you rate your partner?,How attentive would you rate your partner?,"What patterns, if any, did you notice during the experiment?","Was any part of the experiment difficult for you? If so, please explain below.",What do you think the experiment was about?
12/10/2018 14:28:10,S49,L1_NCG_A,5,5,I noticed that in the second part many of the videos changed slightly.,It was difficult remembering if certain parts of the video changed or if I imagined that. Was testing my memory.,I think the experiment was about memory and explaining videos.
12/10/2018 15:25:31,S50,L2_NCG_A,5,5,There were a number of small changes in the two trials in the colors and shapes of objects,Remembering specifics of the backgrounds of each image,Testing if describing/seeing images versus hearing descriptions of an image makes it easier to remember particular images
12/10/2018 16:39:07,S51,L3_NCG_A,5,5,"Simple tasks, but usually random",The memory task,comprehension and judgement
12/11/2018 9:24:37,S52,L1_CG_A,5,4,"As it progressed, my partner spent less and less time looking at each screen.",No.,The information that we think is necessary to include in descriptions; how specific we are with our language.
12/11/2018 11:26:22,S53,L2_CG_A,5,5,The images moved in the same ways.,No,How adults comprehend language and how long the memory is retained. 
12/12/2018 10:30:58,S55,L1_CG_A,4,4,"tower part - there was a pattern to solving the towers that my partner and i got into; watching the films - we got into a pattern of moving the screens, me describing the scene and her saying ""yep"" after clicking the answers twice",the tower part was difficult for me because sometimes it was hard to see into the future... i also found it difficult to decide how much information to give about each scene,memory when seeing something versus hearing about something
12/12/2018 10:49:54,S54,L3_CG_A,4,4,None,No,How the participant described the videos
12/12/2018 14:54:28,S56,L2_NCG_A,4,5,"She seemed to find some of my descriptions or metaphors amusing. The motions in the videos were similiar regardless of the character, creature, or item that was moving.",It was difficult to know how I should describe the videos: be exhaustive and convey each factual detail? Or be attentive to the vibe and try to communicate the impressions I got of the videos?,Maybe it is looking at how the way a person might describe something impacts another person's perception of it before they engage with the material themselves.
12/12/2018 15:29:57,S57,L3_NCG_A,4,5,All the clips consisted of a singular moving object with two nonmoving objects.,Deciding which objects within the clip should be mentioned caused some difficulty at times. ,I think the experiment aimed to determine how well two strangers communicate and how much communication is used.
12/12/2018 16:25:28,S58,L1_CG_A,5,5,a lot of twirling in the original videos. Then a lot of color changes for the second set of videos,Trying to glean what info was important and what was not in describing it to my partner,"How talking about, hearing, and seeing visuals aid in memory"
12/12/2018 17:32:08,S59,L2_CG_A,5,5,There was always something moving from part of the scrren to another. Sometimes animals or humans or creatures,No,Communication or what person remembers after watching a video or a clip
12/14/2018 14:31:54,S60,L3_CG_A,4,4,They were very short clips of a person or animal walking or moving,Not really,Understanding teamwork/collaboration and how people communicate
